"problem","model","data_file"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_swv04.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_swv05.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_swv06.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_swv07.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_swv08.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_swv09.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_swv10.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_swv11.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_swv12.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_swv13.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_swv14.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_vw3x3.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_yn4.dzn"
